"sqno","strd_yr","stnmt","agrde_cd","infcd_ptnt_cnt","infcd_ptnt_rate","whol_ptnt_cnt"
24,"2022","08","10",2,0.0044,452
25,"2022","08","20",29,0.0058,4960
26,"2022","08","30",52,0.0046,11424
27,"2022","08","40",78,0.0041,18806
3,"2022","11","20",16,0.0112,1425
4,"2022","11","30",13,0.0036,3633
5,"2022","11","40",29,0.0050,5837
6,"2022","11","50",22,0.0036,6181
7,"2022","11","60",25,0.0061,4081
8,"2022","11","70",3,0.0044,675
1,"2022","11","00",,,6
2,"2022","11","10",,,120
9,"2022","11","80",,,17
10,"2022","11","99",,,3
28,"2022","08","50",65,0.0030,21607
29,"2022","08","60",57,0.0041,13824
30,"2022","08","70",19,0.0065,2902
31,"2022","08","80",1,0.0065,153
11,"2022","09","10",1,0.0051,198
12,"2022","09","20",9,0.0044,2051
13,"2022","09","30",28,0.0052,5362
14,"2022","09","40",45,0.0052,8587
15,"2022","09","50",29,0.0030,9581
16,"2022","09","60",17,0.0027,6322
17,"2022","09","70",7,0.0064,1100
18,"2022","10","20",11,0.0040,2757
19,"2022","10","30",37,0.0056,6565
45,"2022","05","10",2,0.0053,376
46,"2022","05","20",42,0.0087,4832
47,"2022","05","30",64,0.0054,11882
48,"2022","05","40",65,0.0035,18333
49,"2022","05","50",81,0.0037,21802
50,"2022","05","60",47,0.0031,14921
51,"2022","05","70",21,0.0072,2897
52,"2022","04","10",2,0.0035,567
53,"2022","04","20",31,0.0060,5143
54,"2022","04","30",108,0.0084,12788
55,"2022","04","40",112,0.0052,21392
56,"2022","04","50",124,0.0050,24976
57,"2022","04","60",93,0.0053,17509
58,"2022","04","70",15,0.0046,3281
20,"2022","10","40",25,0.0023,10691
21,"2022","10","50",35,0.0031,11114
22,"2022","10","60",20,0.0028,7267
23,"2022","10","70",9,0.0060,1502
32,"2022","07","20",22,0.0054,4070
33,"2022","07","30",50,0.0048,10355
34,"2022","07","40",65,0.0040,16204
35,"2022","07","50",74,0.0036,20711
36,"2022","07","60",49,0.0038,12936
37,"2022","07","70",10,0.0035,2880
38,"2022","06","10",3,0.0094,319
39,"2022","06","20",47,0.0127,3701
40,"2022","06","30",33,0.0040,8349
41,"2022","06","40",32,0.0023,13722
42,"2022","06","50",47,0.0027,17440
43,"2022","06","60",44,0.0036,12328
44,"2022","06","70",6,0.0027,2263
