"sqno","strd_yr","stnmt","rgn_cd","infcd_ptnt_cnt","whol_ptnt_cnt","infcd_ptnt_rate"
77,"2022","11","01",27,10657,0.0025
78,"2022","11","11",8,1716,0.0047
79,"2022","11","21",17,1651,0.0103
80,"2022","11","31",8,577,0.0139
81,"2022","11","41",9,865,0.0104
82,"2022","11","46",24,1386,0.0173
83,"2022","11","50",5,1099,0.0045
84,"2022","11","54",4,494,0.0081
85,"2022","11","57",1,1337,0.0007
86,"2022","11","61",5,1959,0.0026
87,"2022","09","01",62,18616,0.0033
88,"2022","09","11",8,2061,0.0039
126,"2022","07","54",14,2273,0.0062
127,"2022","07","57",3,2631,0.0011
128,"2022","07","61",19,3462,0.0055
129,"2022","06","01",114,31011,0.0037
130,"2022","06","11",9,4635,0.0019
131,"2022","06","21",27,4137,0.0065
132,"2022","06","31",3,1217,0.0025
133,"2022","06","41",9,1466,0.0061
134,"2022","06","46",15,4566,0.0033
135,"2022","06","50",16,3663,0.0044
136,"2022","06","54",4,1962,0.0020
137,"2022","06","57",4,2065,0.0019
138,"2022","06","61",11,3203,0.0034
121,"2022","07","31",7,1420,0.0049
122,"2022","07","34",1,418,0.0024
123,"2022","07","41",9,1774,0.0051
124,"2022","07","46",19,4802,0.0040
125,"2022","07","50",21,4267,0.0049
139,"2022","05","01",137,42218,0.0032
140,"2022","05","11",9,5519,0.0016
141,"2022","05","21",62,5740,0.0108
142,"2022","05","31",9,1309,0.0069
143,"2022","05","34",1,493,0.0020
144,"2022","05","41",10,1726,0.0058
145,"2022","05","46",35,5826,0.0060
146,"2022","05","50",31,4804,0.0065
147,"2022","05","54",10,2368,0.0042
148,"2022","05","57",6,2046,0.0029
89,"2022","09","21",16,2578,0.0062
90,"2022","09","31",6,771,0.0078
91,"2022","09","34",1,318,0.0031
92,"2022","09","41",1,44,0.0227
93,"2022","09","46",3,1445,0.0021
94,"2022","09","50",23,2213,0.0104
95,"2022","09","54",4,1190,0.0034
96,"2022","09","57",9,1852,0.0049
97,"2022","09","61",3,2144,0.0014
98,"2022","10","01",68,20975,0.0032
99,"2022","10","11",8,2653,0.0030
100,"2022","10","21",23,3233,0.0071
101,"2022","10","31",6,960,0.0063
102,"2022","10","41",7,1160,0.0060
103,"2022","10","46",3,2290,0.0013
104,"2022","10","50",10,2501,0.0040
105,"2022","10","54",4,1094,0.0037
106,"2022","10","61",8,3038,0.0026
107,"2022","08","01",105,39208,0.0027
108,"2022","08","11",14,6191,0.0023
109,"2022","08","21",50,5135,0.0097
110,"2022","08","31",13,1573,0.0083
111,"2022","08","34",5,520,0.0096
112,"2022","08","41",12,2080,0.0058
113,"2022","08","46",22,5356,0.0041
114,"2022","08","50",40,4981,0.0080
115,"2022","08","54",11,2197,0.0050
116,"2022","08","57",2,2762,0.0007
117,"2022","08","61",29,4137,0.0070
118,"2022","07","01",120,36145,0.0033
119,"2022","07","11",7,5588,0.0013
120,"2022","07","21",50,4969,0.0101
149,"2022","05","61",12,3221,0.0037
150,"2022","04","01",170,50840,0.0033
151,"2022","04","11",25,5924,0.0042
152,"2022","04","21",137,6461,0.0212
153,"2022","04","31",27,1256,0.0215
154,"2022","04","34",4,533,0.0075
155,"2022","04","41",9,2321,0.0039
156,"2022","04","46",32,5941,0.0054
157,"2022","04","50",49,6187,0.0079
158,"2022","04","54",16,2425,0.0066
159,"2022","04","57",6,1404,0.0043
160,"2022","04","61",10,2661,0.0038
