"sqno","strd_yr","stnmt","rgn_cd","infcd_ptnt_cnt","rgn_rate"
20,"2022","11","01",27,0.2500
21,"2022","11","11",8,0.0741
22,"2022","11","21",17,0.1574
23,"2022","11","31",8,0.0741
24,"2022","11","41",9,0.0833
25,"2022","11","46",24,0.2222
26,"2022","11","50",5,0.0463
27,"2022","11","54",4,0.0370
28,"2022","11","57",1,0.0093
29,"2022","11","61",5,0.0463
30,"2022","09","01",62,0.4559
31,"2022","09","11",8,0.0588
32,"2022","09","21",16,0.1176
33,"2022","09","31",6,0.0441
34,"2022","09","34",1,0.0074
35,"2022","09","41",1,0.0074
36,"2022","09","46",3,0.0221
37,"2022","09","50",23,0.1691
38,"2022","09","54",4,0.0294
39,"2022","09","57",9,0.0662
40,"2022","09","61",3,0.0221
75,"2022","06","31",3,0.0142
76,"2022","06","41",9,0.0425
77,"2022","06","46",15,0.0708
78,"2022","06","50",16,0.0755
79,"2022","06","54",4,0.0189
80,"2022","06","57",4,0.0189
81,"2022","06","61",11,0.0519
82,"2022","05","01",137,0.4255
83,"2022","05","11",9,0.0280
84,"2022","05","21",62,0.1925
85,"2022","05","31",9,0.0280
86,"2022","05","34",1,0.0031
87,"2022","05","41",10,0.0311
88,"2022","05","46",35,0.1087
89,"2022","05","50",31,0.0963
90,"2022","05","54",10,0.0311
91,"2022","05","57",6,0.0186
92,"2022","05","61",12,0.0373
41,"2022","10","01",68,0.4964
42,"2022","10","11",8,0.0584
43,"2022","10","21",23,0.1679
44,"2022","10","31",6,0.0438
45,"2022","10","41",7,0.0511
46,"2022","10","46",3,0.0219
47,"2022","10","50",10,0.0730
48,"2022","10","54",4,0.0292
49,"2022","10","61",8,0.0584
50,"2022","08","01",105,0.3465
51,"2022","08","11",14,0.0462
52,"2022","08","21",50,0.1650
53,"2022","08","31",13,0.0429
54,"2022","08","34",5,0.0165
55,"2022","08","41",12,0.0396
56,"2022","08","46",22,0.0726
57,"2022","08","50",40,0.1320
58,"2022","08","54",11,0.0363
59,"2022","08","57",2,0.0066
60,"2022","08","61",29,0.0957
61,"2022","07","01",120,0.4444
62,"2022","07","11",7,0.0259
63,"2022","07","21",50,0.1852
64,"2022","07","31",7,0.0259
65,"2022","07","34",1,0.0037
66,"2022","07","41",9,0.0333
67,"2022","07","46",19,0.0704
68,"2022","07","50",21,0.0778
69,"2022","07","54",14,0.0519
70,"2022","07","57",3,0.0111
71,"2022","07","61",19,0.0704
72,"2022","06","01",114,0.5377
73,"2022","06","11",9,0.0425
74,"2022","06","21",27,0.1274
93,"2022","04","01",170,0.3505
94,"2022","04","11",25,0.0515
95,"2022","04","21",137,0.2825
96,"2022","04","31",27,0.0557
97,"2022","04","34",4,0.0082
98,"2022","04","41",9,0.0186
99,"2022","04","46",32,0.0660
100,"2022","04","50",49,0.1010
101,"2022","04","54",16,0.0330
102,"2022","04","57",6,0.0124
103,"2022","04","61",10,0.0206
